id	filename	md5	size	state
013e52b9-1a81-41ef-a287-71bfcfb5c5eb	013e52b9-1a81-41ef-a287-71bfcfb5c5eb/e1aa40de-87ce-4b84-9994-1e539a144737.mirnaseq.mirnas.quantification.txt	4fd243bf377166ff50d00b0c5a58c927	49544	validated
028deb94-8ebf-4188-ba8b-c8a4228bac18	028deb94-8ebf-4188-ba8b-c8a4228bac18/a1204f0d-bad1-46cc-a304-9fc9902e4a0d.mirnaseq.mirnas.quantification.txt	3a9fa207ca147eaa4ea38dd1abbb6cee	49834	validated
029eb773-8eab-460c-9579-e38a91b33a04	029eb773-8eab-460c-9579-e38a91b33a04/7786a908-b402-4d9d-855b-1eac68c4ad68.mirnaseq.mirnas.quantification.txt	43c32103bb7b3e281fbdc8b182e91d08	49706	validated
03aee276-67d7-4c9b-b02d-eeac713713d7	03aee276-67d7-4c9b-b02d-eeac713713d7/48dd4946-6a3d-403b-8c5c-24995114afd2.mirnaseq.mirnas.quantification.txt	b65642e904ece1528ae38eac8b2ae961	49523	validated
03df4e58-9a9d-4e29-9604-0c29fa495566	03df4e58-9a9d-4e29-9604-0c29fa495566/fe6753c0-32f6-4285-b805-7d391a3b2cae.mirnaseq.mirnas.quantification.txt	8b392f9c1c516c80fc255d42db353e01	49632	validated
04321795-9298-4e7e-9e5e-dcf7833e900d	04321795-9298-4e7e-9e5e-dcf7833e900d/f2c52e86-cf42-40aa-8199-dbabe96a9ce7.mirnaseq.mirnas.quantification.txt	100be8357b0af9473c7e4a13bdc93a6a	49650	validated
04334e10-2067-47a2-bb77-b6ad3195a5e2	04334e10-2067-47a2-bb77-b6ad3195a5e2/878f2296-2db3-4267-b149-c5b303087b41.mirnaseq.mirnas.quantification.txt	a13394a265b0866e3a7655e57de8d52a	49632	validated
04ec78d5-70e3-4dab-bf6c-aec637fe7d13	04ec78d5-70e3-4dab-bf6c-aec637fe7d13/caf34888-e4ad-4dd0-b5b4-6b5c5002f7e2.mirnaseq.mirnas.quantification.txt	6a2659b1df37d56720744da828ecbec6	49641	validated
05ead39f-cb61-4e4c-9882-cdda3a5a5d32	05ead39f-cb61-4e4c-9882-cdda3a5a5d32/fc078640-0b63-45fc-8dc8-e7deb9c2e99e.mirnaseq.mirnas.quantification.txt	e009b8538574169f9c47eb726f766389	49587	validated
0620134e-539d-43df-9545-05b61f7c291d	0620134e-539d-43df-9545-05b61f7c291d/6d8c9c7d-1a4a-4bff-8a02-c0381815b635.mirnaseq.mirnas.quantification.txt	beabe908d7c7c8f199f1041fdc117b33	49823	validated
068385a5-c554-4f0f-a466-72dbd4ef5832	068385a5-c554-4f0f-a466-72dbd4ef5832/fa30c85d-b818-42f8-b300-2322e4db8b7c.mirnaseq.mirnas.quantification.txt	c061ec4a81bc72b6d03e4b6857aece59	49644	validated
0727ac7f-dbba-46a5-bf0e-61d8eeb6827b	0727ac7f-dbba-46a5-bf0e-61d8eeb6827b/c752874f-b4ab-4ef5-bc46-f60fd4f734d8.mirnaseq.mirnas.quantification.txt	d797cef21306101dbe5734cf2446a1a1	50000	validated
079d824b-f70a-4e5c-bc8c-5c7db58a1e95	079d824b-f70a-4e5c-bc8c-5c7db58a1e95/b6e52f31-771a-4765-bf4a-a0c2dd646437.mirnaseq.mirnas.quantification.txt	3042c0dfa152dc4b2f15ae58e54e3677	49739	validated
079fb7c1-9fdc-480a-b687-7f77e24fd097	079fb7c1-9fdc-480a-b687-7f77e24fd097/e42e29da-b98c-45de-962a-9a41e71ee8ac.mirnaseq.mirnas.quantification.txt	b3078df82a89b5af35f2a728b6038d16	49747	validated
07e72f4f-8c85-4efc-a489-53eb6c5a0c16	07e72f4f-8c85-4efc-a489-53eb6c5a0c16/5241da44-1b3d-46a1-b61b-7eca9734c3b6.mirnaseq.mirnas.quantification.txt	35a8bcca35c910bfffc24261ab88dcbe	49622	validated
083d8d9a-7bfa-48a4-832d-a4cca97ea82b	083d8d9a-7bfa-48a4-832d-a4cca97ea82b/98243026-b9a6-40d5-8009-ef78985e4dc8.mirnaseq.mirnas.quantification.txt	38ec4b42067717abb4f4024f9116f05c	49703	validated
08697113-597f-4e27-9bb8-03e73d44539b	08697113-597f-4e27-9bb8-03e73d44539b/46c9768c-6ac9-41df-a4e4-1233bb952c34.mirnaseq.mirnas.quantification.txt	862b4e9551bf470e5bddff680cd4ac28	49713	validated
0a61352a-642a-4897-8397-a2d844114bdf	0a61352a-642a-4897-8397-a2d844114bdf/764c1c29-6543-47f8-9e5c-46a7c62b4e3b.mirnaseq.mirnas.quantification.txt	a145841c5fa50e4451ce221dafbf43b0	49664	validated
0a6f6ff4-d5d2-4f35-b4a5-265b11ae7edc	0a6f6ff4-d5d2-4f35-b4a5-265b11ae7edc/4fdacb5d-ab78-4125-a788-6c19548f5777.mirnaseq.mirnas.quantification.txt	00a3d08899581e1035ddcdcb6c9a3d1b	49723	validated
